,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
10,297,156,238,144,35,520,100,29,57,96,80,422,7153,389,202,286,17,60,101,202,169,47,207,10,37,18,91,599,11,6,10,8,0,7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0
11,340,168,262,144,40,604,111,38,63,104,95,493,9074,463,236,333,23,64,101,225,177,56,231,10,45,21,93,661,15,6,12,8,0,8,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0
12,408,191,300,159,51,683,127,46,70,113,118,566,11177,521,271,391,31,70,128,246,193,66,254,10,54,24,105,724,15,6,12,8,0,10,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0
13,480,212,337,179,55,797,139,56,79,126,155,675,13522,593,308,476,42,74,128,270,208,74,282,10,60,29,117,829,15,6,12,8,0,12,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0
14,530,228,366,194,57,870,150,64,89,135,190,764,16678,661,341,548,54,81,142,298,233,81,301,11,67,32,122,895,16,6,13,10,0,12,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0
15,530,253,376,205,57,895,150,64,99,135,190,764,16678,661,341,548,54,88,165,307,243,81,301,11,69,32,124,895,19,6,14,12,0,12,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0
16,665,297,411,224,67,1018,172,77,115,171,277,914,22112,772,408,661,65,94,184,379,277,96,344,16,81,39,135,1006,24,6,15,14,0,13,3,3,1,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0
17,733,315,426,239,71,1075,183,89,124,195,295,981,24953,803,439,698,69,99,195,407,286,104,363,17,88,42,138,1048,24,6,15,15,0,13,3,3,1,1,1,1,0,0,0,0,0,0,0,0,1,6,1,0,0,0
18,779,326,446,250,79,1120,195,96,128,206,307,1033,27100,838,468,740,78,105,208,435,293,115,386,17,90,45,140,1075,25,11,15,16,0,13,3,3,1,1,1,1,0,0,0,0,0,0,0,0,1,6,1,0,0,0
19,830,337,468,261,83,1151,210,109,136,218,331,1073,29631,879,492,771,80,107,213,459,299,119,405,18,94,49,141,1092,27,11,15,18,0,14,4,3,1,2,1,1,0,0,0,0,0,0,0,0,1,6,1,0,0,0
20,860,342,486,267,86,1177,215,118,142,239,360,1105,31728,912,515,804,81,108,219,486,303,122,417,18,102,55,149,1117,28,11,15,18,0,14,8,3,1,2,1,1,0,0,0,0,0,0,0,0,1,7,1,0,0,0
21,889,352,505,272,86,1219,222,131,151,251,378,1135,33366,946,543,844,83,116,225,497,306,124,436,18,107,59,154,1131,28,11,15,18,0,16,8,3,1,2,1,1,0,0,0,0,0,0,0,0,1,7,1,0,0,0
22,910,366,518,279,87,1241,222,135,157,265,395,1169,48206,968,570,872,84,116,229,506,313,126,451,18,113,63,155,1145,28,11,15,18,0,16,9,3,1,2,1,1,0,0,0,0,0,0,0,0,1,8,1,0,0,0
23,934,372,529,281,91,1261,226,140,158,283,418,1184,51986,988,593,900,86,117,230,519,318,126,463,18,120,65,162,1155,28,11,15,19,0,16,9,3,1,2,1,1,0,0,0,0,0,0,0,0,1,8,1,1,0,0
24,950,375,537,285,90,1294,235,143,162,291,425,1212,54406,1001,604,913,88,119,232,530,326,127,470,18,121,70,168,1162,28,11,15,21,0,16,9,3,1,2,1,1,0,0,0,0,0,0,0,0,1,8,1,1,0,0
25,962,380,544,287,90,1316,237,144,162,300,445,1231,56249,1004,617,925,89,120,236,537,328,128,481,18,122,71,169,1167,29,12,15,22,0,16,9,3,1,2,1,1,0,0,0,0,0,0,0,0,1,8,1,1,0,0
26,973,381,551,290,90,1322,238,146,163,301,457,1246,58182,1006,626,930,89,121,240,541,332,129,495,20,125,75,171,1171,30,12,15,22,0,16,9,3,1,2,1,1,0,0,0,0,0,0,0,0,1,8,1,1,0,0
27,982,387,553,292,91,1328,242,146,163,302,464,1257,59989,1007,629,933,89,121,240,543,333,130,508,22,127,76,172,1172,31,12,15,22,0,16,9,3,1,2,1,1,0,0,0,0,0,0,0,0,1,8,1,1,0,0
28,986,393,555,293,91,1331,244,146,163,306,470,1262,61682,1008,631,934,90,121,242,544,333,131,514,22,128,76,173,1174,46,12,15,22,0,16,9,3,1,2,1,1,0,0,0,0,0,0,0,0,1,8,1,1,0,0
29,987,395,560,293,91,1332,245,146,168,307,476,1265,62031,1010,631,934,91,121,245,546,333,131,520,24,130,76,172,1175,82,12,15,22,0,16,9,3,1,2,1,1,0,0,0,0,0,0,0,0,1,8,1,1,0,0
30,988,396,567,293,91,1333,246,146,168,308,479,1267,62662,1011,631,934,91,121,245,748,334,132,525,24,131,76,174,1203,156,12,15,22,0,16,9,3,1,2,1,1,5,0,0,0,0,0,0,0,1,9,1,1,0,0
31,988,396,567,293,91,1333,246,146,168,308,479,1267,62662,1011,631,934,91,121,245,749,334,132,525,26,132,76,174,1203,156,12,15,22,0,16,9,3,1,2,1,1,5,0,0,0,0,0,0,0,1,9,1,1,0,0
32,989,399,573,293,91,1342,249,146,168,311,480,1271,64084,1016,631,934,91,121,245,754,335,132,526,26,135,76,174,1205,556,12,17,22,0,16,9,79,1,2,1,1,28,0,0,0,0,0,0,0,1,10,1,1,0,0
33,989,399,575,293,91,1342,251,146,168,311,480,1271,64084,1016,631,934,93,121,245,754,335,132,526,28,135,76,174,1205,602,12,17,22,0,16,13,157,1,2,1,1,43,0,0,0,0,0,0,0,1,10,1,1,0,0
34,989,400,576,294,91,1347,252,146,168,311,480,1271,64786,1016,631,934,93,121,245,755,335,133,529,30,135,76,174,1205,893,12,22,22,1,16,13,232,1,3,1,1,61,0,0,0,0,0,0,0,1,10,1,1,0,0
35,989,400,576,294,91,1347,252,146,168,312,480,1271,65187,1016,631,934,93,121,245,756,336,133,531,32,135,76,174,1205,1146,14,23,22,1,18,13,323,1,7,1,1,95,2,1,0,0,0,0,0,1,10,1,1,0,0
36,989,410,576,296,91,1347,252,146,168,317,480,1272,65596,1017,631,934,93,121,245,756,337,133,534,32,135,76,174,1205,1595,18,23,22,1,27,13,470,1,13,2,2,139,2,1,0,0,0,0,0,1,9,1,1,0,0
37,990,410,576,296,91,1348,252,146,168,318,480,1272,65914,1017,631,935,93,121,245,756,337,133,538,32,136,76,174,1205,2022,38,23,23,1,48,16,653,1,25,7,2,270,3,9,1,0,0,0,0,1,9,1,1,0,0
38,990,410,576,296,91,1348,252,146,168,318,480,1272,65914,1017,631,935,93,121,245,756,337,133,538,34,136,76,174,1205,2337,41,24,25,1,53,19,653,1,25,7,2,388,5,15,4,2,0,0,0,1,9,1,1,0,0
39,990,411,576,296,91,1349,252,146,168,318,480,1272,66907,1018,631,935,93,122,245,756,337,133,538,39,136,76,174,1205,3526,100,26,25,2,99,23,1128,1,58,13,3,593,10,24,15,7,3,0,0,3,10,1,1,0,0
40,990,414,576,296,91,1350,252,146,168,318,480,1272,67103,1018,631,935,93,122,245,758,337,133,538,41,136,76,174,1205,4156,130,30,29,2,130,36,1713,2,74,13,6,978,14,27,19,10,3,1,0,8,10,1,1,2,0
41,990,414,576,296,91,1350,252,146,168,318,480,1272,67217,1018,631,935,93,125,245,758,338,133,538,41,136,76,174,1213,4812,191,34,29,2,157,40,2084,8,124,15,7,1501,16,38,25,18,4,1,2,17,15,1,1,2,1
42,990,417,576,296,91,1350,252,146,168,318,480,1272,67332,1018,631,935,93,125,245,758,338,133,538,42,136,76,174,1213,5328,212,40,36,2,196,51,2502,13,165,30,7,2336,24,46,33,24,10,2,2,17,21,1,1,2,1
43,990,418,576,296,91,1350,252,146,168,318,481,1272,67466,1018,631,935,93,125,245,758,338,133,539,42,136,76,174,1215,5766,285,53,50,3,351,87,3144,23,223,52,7,2922,29,80,57,38,15,6,6,24,24,2,1,2,2
44,990,422,576,296,102,1351,252,146,168,318,481,1272,67592,1018,631,935,93,125,245,758,339,133,539,44,136,76,174,1215,6284,423,60,55,8,500,116,3927,50,248,94,12,3513,41,111,86,82,20,13,9,24,24,2,1,2,2
45,990,426,576,296,119,1352,252,146,168,318,481,1272,67666,1018,631,935,93,125,245,758,342,133,539,45,136,76,174,1215,6767,653,66,83,13,670,163,4680,109,400,137,15,4747,55,210,113,128,23,18,9,83,79,8,17,4,35
46,990,428,576,296,120,1352,252,146,168,318,481,1272,67707,1018,631,935,93,125,245,758,342,133,539,45,136,76,174,1215,7134,949,76,93,19,800,206,6012,169,516,161,19,5823,79,228,147,188,27,19,18,106,92,13,19,7,76
47,990,428,576,296,124,1352,252,146,168,318,481,1272,67743,1018,631,935,93,125,245,758,342,133,539,45,136,76,174,1215,7382,1209,83,99,25,1040,273,7424,200,673,203,25,6566,104,337,176,265,35,21,30,116,102,28,22,10,106
48,990,429,576,296,124,1353,252,146,168,318,481,1272,67760,1018,631,935,93,125,245,758,342,133,539,45,136,76,174,1215,7515,1412,101,117,30,1151,319,9220,239,1223,260,33,7161,131,337,176,321,90,24,30,166,114,41,24,13,143
49,990,435,576,296,125,1353,252,146,168,318,482,1272,67773,1018,631,935,93,125,245,758,344,133,539,47,136,76,174,1215,7515,1784,117,129,34,1565,373,10149,267,1695,355,40,8042,182,497,400,382,262,34,30,271,157,92,28,15,173
50,990,435,576,296,127,1356,252,146,168,318,482,1273,67781,1018,631,935,93,125,245,760,344,133,539,48,136,76,174,1215,7869,2284,129,149,52,1966,460,12462,314,2277,500,65,9000,246,652,629,503,514,43,59,370,166,95,33,23,218
51,990,436,576,296,127,1356,252,146,168,318,482,1273,67786,1018,631,935,93,125,245,760,346,133,539,49,136,76,174,1215,7979,2876,159,158,77,2745,596,15385,399,3146,687,109,10075,361,868,800,614,674,70,59,406,198,108,35,30,325
52,990,437,576,296,129,1356,252,146,168,318,482,1273,67790,1018,631,935,93,125,245,760,350,133,539,50,136,76,174,1227,8086,3661,199,197,151,3675,798,17660,559,5232,814,155,11364,504,1139,996,804,801,90,112,572,247,123,50,51,421
53,990,442,576,296,132,1357,252,146,168,318,482,1273,67794,1018,631,935,93,125,245,760,353,133,539,53,136,76,174,1231,8162,4500,248,238,151,4602,1140,21157,689,6393,961,225,12729,665,1375,1108,959,827,129,169,646,247,138,56,77,524
54,990,446,576,296,133,1361,252,146,168,318,482,1273,67798,1018,631,935,93,125,245,760,355,133,539,59,136,76,175,1231,8236,5423,313,428,200,4838,1372,24938,886,7753,1023,244,13938,860,2220,1256,1135,864,169,245,773,381,164,67,115,729
55,990,455,576,296,133,1364,253,146,168,318,482,1273,67799,1018,631,935,93,125,246,761,358,133,539,67,136,76,176,1232,8320,6633,375,553,234,6012,1543,27980,1085,9191,1023,272,14991,1016,2220,1331,1413,914,223,331,841,412,197,67,155,950
56,990,458,576,296,133,1369,253,146,168,318,482,1273,67800,1018,631,935,93,125,246,761,361,133,540,77,136,76,176,1232,8413,7730,539,673,291,9367,1950,31506,1243,11826,1191,319,16169,1332,2269,1347,1705,977,292,448,908,570,218,75,192,1541
57,990,469,576,296,133,1370,253,146,168,318,482,1273,67800,1018,631,935,93,125,246,761,361,133,540,100,136,76,176,1232,8413,7730,556,790,291,10082,2626,31506,1486,13716,1191,333,17361,1646,2772,1550,2051,1044,292,448,1016,723,218,75,210,1650
58,990,491,576,299,134,1392,254,146,168,318,484,1273,67800,1018,631,935,93,126,247,762,371,133,541,108,137,76,176,1234,8652,10995,814,900,647,15320,3269,41035,1795,18077,1423,400,18407,2196,4222,1780,2460,1151,557,786,1191,873,328,154,384,5298
59,990,499,576,303,134,1399,254,146,168,318,484,1273,67800,1018,631,935,93,126,248,764,380,133,542,135,137,76,176,1236,8799,12612,929,1030,970,18607,3983,47021,2257,19980,1639,450,19644,2649,5615,1939,2994,1255,683,1020,1380,1044,413,309,514,7845
60,990,514,576,307,134,1407,254,146,168,319,484,1273,67800,1018,633,936,93,126,248,765,394,133,543,153,137,76,176,1237,8897,14459,1286,1183,1128,22101,5018,53578,2815,25496,1770,523,20610,2664,6863,2164,3631,1326,785,1280,1524,1266,413,309,514,8377
61,990,537,577,313,136,1413,254,146,168,319,484,1274,67800,1018,633,936,93,127,248,767,404,133,543,169,141,76,176,1238,8961,16018,1629,1306,1546,24852,5683,59138,3401,28768,1931,626,21638,3580,7474,2262,4204,1395,906,1600,1793,1468,646,334,768,15168
62,990,558,578,318,136,1428,254,146,168,319,484,1274,67801,1018,636,936,93,127,249,768,414,134,545,215,142,76,176,1240,9037,19856,1823,1518,1891,28729,6650,63927,3743,35136,2016,700,23094,3924,8060,2573,4749,1460,1125,2060,1996,1825,646,653,1171,20875
63,990,558,578,318,136,1428,254,146,168,319,484,1274,67801,1018,636,936,93,127,249,768,414,134,545,216,145,76,176,1240,9037,19856,2136,1624,1891,30138,8077,63927,4269,39673,2016,700,24811,4486,8836,2573,5560,1577,1125,2362,2221,2229,777,803,1227,21787
